"CODE";"BOROUGH";"YEAR";"VAL_01_AGE";"VAR_01_AGE";"IND_01_AGE";"VAL_02_RACE_WHITE";"VAR_02_RACE_WHITE";"IND_02_RACE_WHITE";"VAL_03_WEEK_EARNINGS";"VAR_03_WEEK_EARNINGS";"IND_03_WEEK_EARNINGS";"VAL_04_PERCENT_NVQ4";"VAR_04_PERCENT_NVQ4";"IND_04_PERCENT_NVQ4";"VAL_05_CAR_TRAFFIC";"VAR_05_CAR_TRAFFIC";"IND_05_CAR_TRAFFIC";"VAL_06_EXP_LIFE";"VAR_06_EXP_LIFE";"IND_06_EXP_LIFE";"VAL_07_CRIMES";"VAR_07_CRIMES";"IND_07_CRIMES";"VAL_08_SERVICES";"VAR_08_SERVICES";"IND_08_SERVICES";"VAL_09_HOUSE_PRICE";"VAR_09_HOUSE_PRICE";"IND_09_HOUSE_PRICE";"VAL_10_HOUSE_RENT";"VAR_10_HOUSE_RENT";"IND_10_HOUSE_RENT"
"E09000011";"Greenwich";2021;43,08;-0,8269;-2,3636;57,93;-0,7517;-0,0836;618,3;2,3948;0,3833;58,2;3,0253;0,1373;866;-0,9006;0,1347;80,16;0,035;0,4228;2100,17;1,3359;6,4728;1900;4,1517;0,1163;418248,75;6,195;0,1099;120,65;2,247;-0,0243
"E09000011";"Greenwich";2031;42,58;-0,1167;-1,5766;55,92;-0,3525;0,0132;653,86;0,5608;-0,753;77,34;2,8841;0,1938;916;0,5629;-0,4819;80,16;0;1;2223,92;0,5742;-0,4637;2510;2,8234;1,1192;533116,06;2,4563;0,1415;151,53;2,3051;-0,0304
"E09000012";"Hackney";2001;42,98;0;0;59,65;0;0;387,1;0;0;31;0;0;439;0;0;77,31;0;0;3314,08;0;0;1330;0;0;153406,32;0;0;59,83;0;0
"E09000012";"Hackney";2011;46,18;0,7207;1,8992;54,7;-0,8626;0,4974;517,4;3,2762;0,3913;47,6;6,3179;0,2297;369;-1,722;-1,6246;79,81;0,3986;-0,1214;2231,25;-3,8789;-0,3486;1630;2,5751;1,7052;308698,44;7,243;0,1684;96,49;4,8954;0,0828
"E09000012";"Hackney";2021;43,82;-0,5232;-1,8628;56,86;0,388;1,5593;576,8;1,0927;-0,3688;71,1;4,0941;0,5391;314;-1,6011;-0,5383;79,51;-0,0377;-2,5325;2531;1,2685;6,1966;3230;7,0783;0,9031;573982,67;6,3987;0,1464;121,41;2,3239;0,0091
"E09000012";"Hackney";2031;40,13;-0,8758;-5,3271;57,59;0,1276;1,3572;630,81;0,8991;-0,604;94,69;2,9067;0,2032;332;0,559;-0,4855;76,91;-0,3319;-2,3661;2688,57;0,6058;-0,4342;4566;3,5222;1,6437;681328,99;1,7292;-0,1964;155,82;2,5267;0,0628
"E09000013";"Hammersmith and Fulham";2001;44,37;0;0;77,92;0;0;492,8;0;0;46,9;0;0;478;0;0;78,49;0;0;2457,25;0;0;1695;0;0;271918,78;0;0;59,74;0;0
"E09000013";"Hammersmith and Fulham";2011;45;0,1411;1,176;68,08;-1,3409;0,2188;594,1;2,0989;-0,1086;56,4;2,67;-0,4803;405;-1,6436;-1,5051;80,8;0,3632;-0,1995;1883,58;-2,6237;0,0878;1960;1,8324;0,925;518573,67;6,6687;0,0758;101,78;5,4726;0,2105
"E09000013";"Hammersmith and Fulham";2021;45,93;0,2048;-0,6623;64,99;-0,4634;0,332;727;2,0393;0,178;74,4;2,8086;0,0558;331;-1,9975;-0,9192;80,3;-0,0621;-3,5244;1607;-1,5755;-5,4543;2480;2,381;-0,3598;764324,92;3,9553;-0,2914;130,44;2,512;0,0908
"E09000013";"Hammersmith and Fulham";2031;43,56;-0,5284;-3,6107;63,84;-0,1784;0,5006;729,69;0,0369;-0,9837;74,4;0;-1;376;1,2829;0,1809;80,8;0,0621;1,6298;1804,59;1,1664;0,0894;2520;0,1601;-0,8798;917191,93;1,84;-0,1449;170,78;2,7313;0,1489
